,sentiment,content
0,sadness,quot my problem miss you cause don t quot
1,sadness,that s it done already one proof there s nothing fair world http bit ly uemq
2,sadness,hungry food steal
3,happiness,foot hurt finally bed will forget crunch over very productive day today though
4,sadness,really ill atm
5,sadness,hi im chris cant get mine keep getting error
6,happiness,coconutfriend shouldnt i im happy enjoyed co im thoughtful like see yaya hav follower woop
7,sadness,megfitzgerald heart hurt too
8,happiness,tommcfly ahhhhhhh th birthday cant belive found im seeing yous tonight best present everr lt
9,sadness,say miss cousin badly http plurk com p xbha
10,sadness,hate song http blip fm jgf
11,happiness,kelseyrose wish going too still coming nicoles preprom nicolesx can t wait preprom
12,sadness,mscrismusic wish u d
13,happiness,listenin da beach girl itunes
14,sadness,enjoying great sunshine indoors feel good today
15,sadness,leaving nola today counting second til start cry love place much
16,sadness,stuck office till warm outside
17,happiness,quot bad word crutch lead tattoo peircings quot hahahaha
18,sadness,petronella really want shish kebab going settle toast
19,sadness,mileycyrus sorryyy milerz can t vote would love vote work sad frustraded
20,sadness,emiily kate know heap awesome working weekend
21,sadness,work miserable day
22,sadness,dougiemcfly too hehe hate cold totaly annoying
23,happiness,mysolis aw sorry ur day sucked u see post abt car issue lol think safe say get better tho beer thirty
24,happiness,yay bannerbomb wii finally out run homebrew wii
25,happiness,suzyqbee that d awesome think ever blogged about
26,happiness,cooky milk make feel better thanks babe still recuperating last night http yfrog com izrj
27,happiness,goldi m except im site near airport dixon lil starbucks gps head hehe
28,sadness,wish raining
29,happiness,xhayleeey finally getting ready see msn ahaha fun fun fun
30,sadness,drinking cordial yes im bored
31,happiness,watched bone finale last night uk amp rocked oh much missed zack ericmillegan freakin awesome lt
32,happiness,cocotian course do adorable face
33,sadness,tearlesspoet hmmm really that s weird idk one sowwy
34,sadness,ng got it poor thing gonna choice much longer though
35,happiness,followmyjourney oh girl get baby going bed pm
36,sadness,another week start
37,sadness,fed pain
38,happiness,choosing britney dance showcase yesss cant wait day
39,happiness,desert paradise hi dale welcome man hope ur weekend going well think would enjoy desert paradise fun fun fun
40,sadness,gym day hoping enjoy last friday twenty
41,happiness,karen morning hope u r well bed soon
42,sadness,shanelapoint hey hunnie u miss talkin u ty follow
43,happiness,botse that s cute picture get fat licking bbqs must found chop someone else s
44,happiness,aaah good bye mikee smoked crab
45,sadness,stomach hurt
46,sadness,glad got cleared up lah you idk linda hate though
47,sadness,realized spelled quot adorable quot wrong tweeted mindykaling must hate
48,happiness,karen good good
49,happiness,follower bom dia
50,sadness,feel like dream got crushed
51,sadness,clear intellectually severing relationship best yet heart seems b complete disagreement hurt much
52,sadness,im happy ipod laptop dont know whih one decided refuse let sync song live without
53,sadness,work starving
54,happiness,mrcartersnurse congratulation mom tomorrow buenas noches
55,happiness,look like beautiful day and work til sunday yay bbq yet though gonna postpone invitation
56,sadness,california sunny make kinda sad
57,happiness,time revision listening direngrey album non stop day again
58,happiness,liveinlove yes haahaaa break jellybeaniesss
59,happiness,tonibrockliss fyi connie carla totally awesome preview make seem sorry one
60,sadness,jaycoolk want go peach also miss kittin pendulum chase amp status bloody beetroot fair
61,sadness,think break heart a emo sound meh
62,happiness,sunshineangel yeah course next time icq
63,sadness,epic fail chocolate fountain got clogged
64,happiness,cleaning day
65,sadness,hannahxmakeup stupid putet let go chat
66,happiness,spinachpuffs yeeeeah seen empire top computer game http www empireonline com greatestgames
67,happiness,watching grey anatomy take blueberry muffin oven mmm yummy finished geoggers study note yay
68,happiness,love john mayer s update modeling hot sun sweaty jk seriously
69,happiness,panicitsleslie aww that s still awesome fun though assume
70,sadness,must weather b nice bad minute
71,happiness,antsrants driving insane want lie in
72,happiness,tam looked page realised radio show get play call want love track
73,happiness,bought new combo printer costco today officejet j cause cheaper ink old one window like fax part
74,happiness,janevans lol love macbook too oh imac can t decide love more ok quot imac trump quot macbook
75,happiness,philritchie boom will boom saw movie last night really enjoyed
76,sadness,lexielovesgreys well sadly live boring city usa nothing here
77,sadness,bored lonely work
78,sadness,howardlindzon kiss as looking forward central mountain pacific mother s day tweet forget pei
79,sadness,http twitpic com rw miss puppy
80,sadness,bloomsday sorry hear that optimist thing get better u
81,sadness,cable signal messed up missing ghostwhisperer news hurt toe cold like hot weather
82,sadness,jonathanrknight without ur tweet feel lost hit something
83,happiness,yousifmind good morning asa mo b important class p
84,sadness,everythings sooo messed up life suck
85,sadness,acmaurer wonder get urbana
86,happiness,flahmanow nï¿½o te vi onteeeeeeem
87,happiness,going home enjoy left day can t believe quickly week flew by time tweet
88,happiness,finished st new song soon youtube keeping updated
89,happiness,ifelixgonzalez really look like going rain gray la bummer sumtimes
90,sadness,damn fallout hard game
91,sadness,can t wait see marco later feeling best
92,sadness,conference call hp gave invalid pas code can t attend
93,sadness,pawstoupdate break heart
94,sadness,couple thought wa bored morning
